Country,Sex,Age_Group,Income,Happiness,Mental_Health,Enrollment,Unemployment,Decriminalization,Imprisonment days,Drug law offences,Number of sites with NSP,Total Direct Expenditure,Risk
Belgium,1,2,27453,69,46,80,9,1.0,0,52262.0,70,139.0,0.0
Belgium,1,2,33911,68,46,89,8,1.0,0,52262.0,70,139.0,3.674436716703199e-05
Belgium,1,2,46435,70,46,91,6,1.0,0,52262.0,70,139.0,0.0
Belgium,1,2,46963,71,48,97,6,1.0,0,52262.0,70,139.0,9.220904377995594e-06
Belgium,1,2,30513,68,48,99,6,1.0,0,52262.0,70,139.0,0.0
Belgium,1,2,41695,71,46,100,7,1.0,0,52262.0,70,139.0,0.0
Belgium,1,2,25644,70,47,69,7,1.0,0,52262.0,70,139.0,2.5879654099758265e-05
Belgium,1,2,44582,71,48,70,8,1.0,0,52262.0,70,139.0,0.0
Belgium,1,2,19933,71,47,71,8,1.0,0,52262.0,70,139.0,0.0
Belgium,1,2,36084,70,47,71,7,1.0,0,52262.0,70,139.0,0.0
Belgium,1,2,44612,67,47,70,6,1.0,0,52262.0,70,139.0,0.0
Belgium,1,2,23623,69,50,70,7,1.0,0,52262.0,70,139.0,5.6294716740714034e-05
Belgium,1,2,44566,70,51,69,8,1.0,0,52262.0,70,139.0,0.0
Belgium,1,2,64389,69,48,69,7,1.0,0,52262.0,70,139.0,0.0
Belgium,1,2,49230,69,49,68,7,1.0,0,52262.0,70,139.0,1.2841091998171948e-05
Belgium,1,2,52801,69,50,100,8,1.0,0,52262.0,70,139.0,0.0
Belgium,1,2,62761,69,50,100,8,1.0,0,52262.0,70,139.0,8.942006893915704e-05
Belgium,1,2,40892,69,51,0,8,1.0,0,52262.0,70,139.0,0.0002271282185348
Belgium,1,2,70272,69,48,0,7,1.0,0,52262.0,70,139.0,0.0
Belgium,1,2,5316,68,51,0,7,1.0,0,52262.0,70,139.0,0.0001364369627468
Belgium,1,2,41605,67,49,0,5,1.0,0,52262.0,70,139.0,0.0
Finland,1,2,24187,68,52,83,15,0.0,180,27990.0,71,76.2,0.0
Finland,1,2,30450,70,53,84,14,0.0,180,27990.0,71,76.2,1.511672610560322e-05
Finland,1,2,21041,71,51,84,13,0.0,180,27990.0,71,76.2,0.0002030131860544
